Time (s),Thrust (kN)
16.46,16.13349181358692
16.48,16.109841775476223
16.5,16.111210179754895
16.52,16.11131907367478
16.54,16.13285269531162
16.56,16.132984011223808
16.580000000000002,16.107008576982242
16.6,16.109170474969513
16.62,16.101113079063847
16.64,16.113223406733397
16.66,16.100945950315356
16.68,16.104386580200163
16.7,16.11352076148742
16.72,16.110187744857125
16.740000000000002,16.11137090214687
16.76,16.102544839252282
16.78,16.101520637892033
16.8,16.107472426345883
16.82,16.107967303021276
16.84,16.101929339372898
16.86,16.103135828096065
16.88,16.10620019846484
16.9,16.103442511472963
16.92,16.100675637383418
16.94,16.104564649122576
16.96,16.0998917488885
16.98,16.10073118286691
17.0,16.1088461946742
17.02,16.097979017383327
17.04,16.10780117316448
17.06,16.101715736009538
17.080000000000002,16.11127419013567
17.1,16.111051216954625
17.12,16.108511783492702
17.14,16.10851043967751
17.16,16.1069226282055
17.18,16.10822081169868
17.2,16.101340319542444
17.22,16.094879009498186
17.240000000000002,16.10312963251758
17.26,16.09012009328735
17.28,16.099039797575145
17.3,16.095831358302483
17.32,16.101795139301128
17.34,16.09644131155252
17.36,16.099565970359098
17.38,16.09711844371996
17.400000000000002,16.097060145218226
17.42,16.10171651607233
17.44,16.100242035977626
17.46,16.101521963087908
17.48,16.1001300481582
17.5,16.089084352315258
17.52,16.094915851243947
17.54,16.100167238104266
17.56,16.091030806623742
17.580000000000002,16.099103219231917
17.6,16.101094815569482
17.62,16.089417442210323
17.64,16.10053362177469
17.66,16.092599056928304
17.68,16.086907189911727
17.7,16.09460596305642
17.72,16.08557679248206
17.740000000000002,16.094844053818317
17.76,16.09537420953449
17.78,16.094279575760833
17.8,16.093331964950597
17.82,16.083630599833022
17.84,16.08228489404343
17.86,16.094126749758754
17.88,16.094496532606495
17.900000000000002,16.079927621476045
17.92,16.084631439676
17.94,16.08109322693713
17.96,16.089374009670248
17.98,16.093820809621707
18.0,16.094293839591376
18.02,16.094326780586538
18.04,16.09432494837131
18.06,16.09398347033421
18.080000000000002,16.093681280641015
18.1,16.094097847929454
18.12,16.092540539432193
18.14,16.093229829943258
18.16,16.09213615985655
18.18,16.09167446688179
18.2,16.088611721146652
18.22,16.092493699326138
18.240000000000002,16.083888610217304
18.26,16.09134268038555
18.28,16.086486374399772
18.3,16.08805037038662
18.32,16.085439640689984
18.34,16.087578254808438
18.36,16.082077301441327
18.38,16.08449853242285
18.400000000000002,16.086985532522775
18.42,16.0824600785309
18.44,16.08649746275494
18.46,16.082347896055502
18.48,16.08171370807298
18.5,16.081386932137328
18.52,16.08189890386142
18.54,16.081717126066277
18.56,16.083159414090908
18.580000000000002,16.086023487402105
18.6,16.086734513824158
18.62,16.08764728714285
18.64,16.08798680567146
18.66,16.08732857606215
18.68,16.090396261668868
18.7,16.09236346228174
18.72,16.09230262741269
18.740000000000002,16.09317353548068
18.76,16.09364781406673
18.78,16.093913793895233
18.8,16.092546555392392
18.82,16.091398247509442
18.84,16.08831063594274
18.86,16.087946765830427
18.88,16.084443144942
18.900000000000002,16.08806806231509
18.92,16.085241455816508
18.94,16.08666165031882
18.96,16.082701291929272
18.98,16.08734988534641
19.0,16.076695280265586
19.02,16.083083923268756
19.04,16.083772174748002
19.06,16.07497080194852
19.080000000000002,16.07455535815998
19.1,16.080022721130938
19.12,16.074555832011185
19.14,16.07730276764632
19.16,16.077769118083587
19.18,16.075077313786394
19.2,16.078575636596476
19.22,16.074802418768854
19.240000000000002,16.078382127808677
19.26,16.079886890258116
19.28,16.077047675790347
19.3,16.07687690113088
19.32,16.079680117038468
19.34,16.081017342152805
19.36,16.082574609939538
19.38,16.08563117852031
19.400000000000002,16.086031804989215
19.42,16.088965865841022
